Avg_TCP_transmition,Avg_RTT,Avg_TP,MSISDN/Number
352952379.69649804,6258.0,15067.0,16
344102847.62817603,5058.1999420865395,1042701.0,31
338940830.1827251,10838.828174363816,630074.0,36
336834747.36090547,4011.0,421318.0,27
336229582.711605,7067.828174363816,232739.0,25
336031264.06796575,4569.1408718190805,183877.0,24
335294705.5334246,9458.312697455265,840926.0,41
333833643.50775546,2570.938092365793,130678.0,21
324434022.1570559,1245.0,333745.0,20
324160978.1827251,14468.828174363816,727806.0,30
322303826.8006952,18904.0,428034.0,25
321377954.0102059,9657.0,347509.0,20
320573442.8376868,6215.0,186790.0,23
320437797.09929615,1334.0,169603.0,21
319226668.04153633,6703.828174363816,339099.0,31
317297022.9788755,2367.8281743638163,156438.0,25
308144090.48132604,2964.0,405203.0,22
308042670.7485966,3352.4845230914484,219502.0,20
302880025.8320256,4174.0,1383498.0,36
299131597.0102059,4718.0,373119.0,26
292504610.1883863,10395.828174363816,249424.0,26
290168271.04153633,2281.0,385485.0,26
286119657.3665667,3613.8281743638163,49309.0,22
284621535.44999564,1908.7972205467127,277858.0,21
283101535.25104713,9958.0,39673.0,18
271583718.39789706,1953.0,526887.0,16
265511733.2774765,2345.0,90736.0,15
262555398.6595064,1174.0,286189.0,25
259380114.3088069,3038.8281743638163,132530.0,27
258501404.51831767,7133.828174363816,92842.0,16
257632530.57041624,2567.0,859451.0,28
255241742.3978971,1954.0,235636.0,15
254074511.95810738,4051.8281743638163,307416.0,19
251859243.2823775,1880.0,543295.0,21
248513949.39223588,3507.0,659751.0,24
247856645.98943776,657.0,264059.0,13
247703885.86901718,3307.0,251787.0,19
247261429.3088069,11513.0,155989.0,18
246703205.87957942,2219.0,110417.0,5
246512724.10985836,4345.0,35712.0,11
244734403.3088069,3092.1408718190805,407202.0,16
243311317.8376868,8954.0,62322.0,16
241136614.6595064,1851.0,287757.0,15
239965130.92677698,1576.0,368758.0,16
239410495.21971673,1322.0,268511.0,19
237234646.2510471,6391.0,1304.0,17
232823212.77992702,1263.6563487276321,370349.0,15
228366971.77992702,1213.0,923680.0,17
226971183.31936914,2404.8281743638163,32408.0,8
223464880.3401373,2054.0,644734.0,21
223445151.3088069,1852.828174363816,393006.0,16
221171885.3978971,893.8281743638161,74725.0,14
213815434.51265645,4552.0,266302.0,21
212797926.07852796,3638.0,352265.0,15
212286663.77992702,1237.828174363816,424321.0,14
211269555.22461772,3246.0,482802.0,17
210458267.42922747,7924.828174363816,18746.0,17
208213471.4397897,1312.0,17403.0,3
200166697.02076817,3114.8281743638163,10117.0,10
199634889.95810738,819.0,231308.0,15
198085541.63873824,532.0,132668.0,9
197787933.31936914,8890.0,44395.0,8
197235121.77992702,774.0,88310.0,12
197069525.77992702,1863.828174363816,44919.0,13
193604134.10985836,9648.0,32794.0,11
192853009.51831767,3495.0,175014.0,13
182992326.3401373,4555.0,360062.0,17
181257677.72782844,983.8281743638161,213237.0,12
181162474.98943776,725.0,142473.0,14
179986902.3401373,11030.0,75976.0,11
177615693.8112574,1525.0,400528.0,18
175195524.9003476,4505.656348727633,76161.0,16
174520181.98943776,894.6563487276322,91955.0,13
171649337.9109098,1067.0,29620.0,4
170592301.07852796,442.0,17111.0,9
169805377.98943776,4322.828174363816,67244.0,12
168710434.9686696,901.0,23755.0,4
168331769.63873824,1459.1408718190805,111979.0,11
165601947.07852796,7176.0,231562.0,15
162357537.98943776,3183.8281743638163,137420.0,15
161778064.98943776,11415.0,152731.0,17
161372550.19894853,1478.3126974552645,6396.0,9
159244324.07852796,791.0,233437.0,11
158151194.10985836,628.0,150882.0,11
155536370.87957942,2615.0,3824.0,5
155509182.1932873,2656.0,377384.0,16
155262521.63873824,3044.656348727632,683.0,10
155180015.84824902,15770.0,54802.0,11
154390452.9003476,4467.828174363816,206463.0,14
153442764.67006865,8476.828174363816,19998.0,14
153050149.98943776,4432.0,82916.0,10
152775385.98943776,782.0,245498.0,10
152692773.98943776,1284.0,96854.0,13
152616002.4397897,1056.0,54812.0,4
152422910.98943776,712.0,157123.0,11
151145068.46055788,21044.0,84980.0,11
150791991.16761816,760.4845230914483,213155.0,9
147733381.02076817,2369.8281743638163,184254.0,21
145592940.54964808,1624.0,26364.0,14
145389536.37146768,983.0,104577.0,13
143393778.14118874,3316.0,124623.0,10
142536770.19894853,1559.828174363816,28456.0,10
140672791.10985836,859.0,117909.0,13
140598561.19894853,1486.0,283332.0,13
138964751.46055788,5310.0,127286.0,15
138843000.46055788,1561.0,158979.0,12
136416978.54964808,1643.0,110759.0,13
135451032.37146768,799.0,29852.0,11
135372916.46055788,470.0,122257.0,9
134794482.49188828,1536.0,1416925.0,13
133876354.63873824,6687.0,26106.0,10
133548947.63873824,876.0,43374.0,7
132832607.54964806,1462.0,238666.0,11
131179517.63873824,973.1408718190805,1869.0,10
130708913.10985836,2948.0,176571.0,10
130662481.54964806,2436.8281743638163,7971.0,7
129893972.63873824,349.0,55878.0,6
129721388.93167798,1181.828174363816,658520.0,18
